Method,indicator code,Average degree,Network diameter,Average path length,country
HVG,NE.EXP.GNFS.KD.ZG,3.225806451612903,11.0,3.9634408602150537,AUS
HVG,NE.IMP.GNFS.ZS.1,3.161290322580645,13.0,5.096774193548387,AUS
HVG,NE.IMP.GNFS.KD.ZG,3.3548387096774195,9.0,3.563440860215054,AUS
HVG,FI.RES.TOTL.CD,3.2903225806451615,9.0,4.251612903225807,AUS
HVG,NV.IND.TOTL.ZS,3.4838709677419355,10.0,4.04516129032258,AUS
HVG,NV.MNF.TECH.ZS.UN,3.4193548387096775,10.0,4.243010752688172,AUS
HVG,NV.AGR.TOTL.ZS,3.3548387096774195,10.0,4.535483870967742,AUS
HVG,BM.GSR.ROYL.CD,2.7096774193548385,18.0,7.395698924731183,AUS
HVG,TX.VAL.FUEL.ZS.UN,3.4193548387096775,8.0,3.6193548387096772,AUS
HVG,TX.VAL.MMTL.ZS.UN,3.4838709677419355,11.0,4.870967741935484,AUS
HVG,NY.GDP.TOTL.RT.ZS.1,3.4838709677419355,12.0,4.982795698924731,AUS
HVG,BX.KLT.DINV.CD.WD.1,3.225806451612903,11.0,4.449462365591398,AUS
HVG,SL.TLF.CACT.MA.ZS,3.032258064516129,13.0,5.561290322580645,AUS
HVG,SP.POP.DPND,3.096774193548387,12.0,4.98494623655914,AUS
HVG,SH.IMM.IDPT,2.6451612903225805,12.0,4.913978494623656,AUS
HVG,SH.IMM.MEAS,2.064516129032258,28.0,9.956989247311828,AUS
HVG,SP.POP.1564.TO.ZS.1,2.5161290322580645,24.0,8.993548387096775,AUS
HVG,SP.POP.1564.TO.ZS.2,2.5161290322580645,24.0,8.993548387096775,AUS
HVG,SL.TLF.TOTL.IN,1.935483870967742,30.0,10.666666666666666,AUS
HVG,SP.POP.1564.TO,1.935483870967742,30.0,10.666666666666666,AUS
HVG,NY.GDP.MKTP.KD.ZG,3.5483870967741935,8.0,3.460215053763441,AUT
HVG,GC.XPN.INTP.CN,2.4516129032258065,22.0,7.423655913978495,AUT
HVG,GC.XPN.TOTL.GD.ZS,3.4838709677419355,9.0,3.404301075268817,AUT
HVG,NY.GDP.MKTP.CD,2.967741935483871,14.0,5.47741935483871,AUT
HVG,NY.GDP.PCAP.CD,2.967741935483871,14.0,5.481720430107527,AUT
HVG,NY.GDP.PCAP.PP.CD,2.0,29.0,10.217204301075268,AUT
HVG,NY.GNS.ICTR.ZS,3.4838709677419355,7.0,3.313978494623656,AUT
HVG,NY.GDP.DEFL.KD.ZG,3.5483870967741935,8.0,3.481720430107527,AUT
HVG,GC.XPN.INTP.ZS,2.3225806451612905,24.0,8.023655913978494,AUT
HVG,SL.UEM.TOTL.ZS,3.225806451612903,11.0,4.279569892473118,AUT
HVG,FP.CPI.TOTL.ZG,3.2903225806451615,9.0,3.92258064516129,AUT
HVG,BX.KLT.DINV.CD.WD,3.161290322580645,11.0,4.458064516129032,AUT
HVG,FR.INR.LEND,1.6,4.0,2.0,AUT
HVG,FM.LBL.BMNY.GD.ZS,2.0,2.0,1.3333333333333333,AUT
HVG,CM.MKT.LCAP.GD.ZS,3.3548387096774195,11.0,4.860215053763441,AUT
HVG,FS.AST.PRVT.GD.ZS,4.903225806451613,10.0,3.827956989247312,AUT
HVG,CM.MKT.TRAD.GD.ZS,3.4838709677419355,10.0,4.548387096774194,AUT
HVG,NE.EXP.GNFS.ZS,2.774193548387097,19.0,7.520430107526882,AUT
HVG,NE.IMP.GNFS.ZS,2.838709677419355,18.0,7.148387096774194,AUT
HVG,SL.TLF.ACTI.ZS,2.5161290322580645,20.0,7.09247311827957,AUT
HVG,EN.ATM.CO2E.PC,2.903225806451613,16.0,6.916129032258064,AUT
HVG,EG.ELC.RNWX.ZS,2.903225806451613,15.0,6.225806451612903,AUT
HVG,AG.PRD.FOOD.XD,3.6129032258064515,9.0,3.78494623655914,AUT
HVG,AG.LND.FRST.ZS,1.935483870967742,30.0,10.666666666666666,AUT
HVG,FS.AST.PRVT.GD.ZS.1,4.903225806451613,10.0,3.827956989247312,AUT
HVG,TG.VAL.TOTL.GD.ZS,2.774193548387097,20.0,7.825806451612904,AUT
HVG,GC.XPN.TOTL.GD.ZS.1,3.4838709677419355,9.0,3.404301075268817,AUT
HVG,MS.MIL.XPND.GD.ZS,3.096774193548387,15.0,5.451612903225806,AUT
HVG,GC.NFN.TOTL.GD.ZS,3.225806451612903,11.0,4.946236559139785,AUT
HVG,GC.NLD.TOTL.GD.ZS,3.4193548387096775,8.0,3.7698924731182797,AUT
HVG,GC.REV.XGRT.GD.ZS,3.161290322580645,13.0,4.821505376344086,AUT
HVG,GC.TAX.TOTL.GD.ZS,3.096774193548387,13.0,5.088172043010752,AUT
HVG,TG.VAL.TOTL.GD.ZS.1,2.774193548387097,20.0,7.825806451612904,AUT
HVG,NY.GDP.TOTL.RT.ZS,3.4193548387096775,11.0,4.421505376344086,AUT
HVG,SP.RUR.TOTL.ZS,1.935483870967742,30.0,10.666666666666666,AUT
HVG,SL.AGR.EMPL.MA.ZS,2.774193548387097,18.0,6.402150537634409,AUT
HVG,SP.POP.TOTL,1.935483870967742,30.0,10.666666666666666,AUT
HVG,SP.POP.GROW,3.3548387096774195,10.0,4.060215053763441,AUT
HVG,SP.URB.TOTL.IN.ZS,2.838709677419355,21.0,7.817204301075269,AUT
HVG,EN.URB.MCTY.TL.ZS,2.967741935483871,18.0,6.911827956989248,AUT
HVG,EG.ELC.ACCS.ZS,1.935483870967742,30.0,10.666666666666666,AUT
HVG,SP.POP.0014.TO.ZS,2.4516129032258065,25.0,9.470967741935484,AUT
HVG,SP.POP.1564.TO.ZS,2.5806451612903225,23.0,8.625806451612902,AUT
HVG,EN.URB.LCTY.UR.ZS,2.5806451612903225,23.0,9.245161290322581,AUT
HVG,EN.POP.DNST,1.935483870967742,30.0,10.666666666666666,AUT
HVG,SP.URB.TOTL,3.225806451612903,11.0,4.305376344086022,AUT
HVG,EN.URB.MCTY.TL.ZS.1,2.967741935483871,18.0,6.911827956989248,AUT
HVG,BN.CAB.XOKA.CD,4.645161290322581,8.0,3.109677419354839,AUT
HVG,BN.TRF.CURR.CD,2.774193548387097,9.0,3.3010752688172045,AUT
HVG,BN.TRF.KOGT.CD,3.5483870967741935,5.0,2.7870967741935484,AUT
HVG,NE.EXP.GNFS.ZS.1,2.774193548387097,19.0,7.520430107526882,AUT
HVG,NY.EXP.CAPM.KN,2.129032258064516,27.0,9.634408602150538,AUT
HVG,NE.EXP.GNFS.KD.ZG,3.4193548387096775,9.0,3.6473118279569894,AUT
HVG,NE.IMP.GNFS.ZS.1,2.838709677419355,18.0,7.148387096774194,AUT
HVG,NE.IMP.GNFS.KD.ZG,3.4838709677419355,7.0,3.1053763440860216,AUT
HVG,FI.RES.TOTL.CD,3.4193548387096775,10.0,4.086021505376344,AUT
HVG,NV.IND.TOTL.ZS,2.838709677419355,17.0,6.556989247311828,AUT
HVG,NV.MNF.TECH.ZS.UN,2.838709677419355,17.0,7.032258064516129,AUT
HVG,NV.AGR.TOTL.ZS,2.6451612903225805,19.0,7.122580645161291,AUT
HVG,BM.GSR.ROYL.CD,5.419354838709677,8.0,2.789247311827957,AUT
HVG,TX.VAL.FUEL.ZS.UN,2.967741935483871,14.0,6.025806451612903,AUT
HVG,TX.VAL.MMTL.ZS.UN,3.2903225806451615,12.0,5.165591397849463,AUT
HVG,NY.GDP.TOTL.RT.ZS.1,3.4193548387096775,11.0,4.421505376344086,AUT
HVG,BX.KLT.DINV.CD.WD.1,3.161290322580645,11.0,4.458064516129032,AUT
HVG,SL.TLF.CACT.MA.ZS,2.967741935483871,15.0,5.578494623655914,AUT
HVG,SP.POP.DPND,3.096774193548387,12.0,4.980645161290322,AUT
HVG,SH.IMM.IDPT,2.7096774193548385,15.0,5.109677419354838,AUT
HVG,SH.IMM.MEAS,2.967741935483871,13.0,4.567741935483871,AUT
HVG,SP.POP.1564.TO.ZS.1,2.5806451612903225,23.0,8.625806451612902,AUT
HVG,SP.POP.1564.TO.ZS.2,2.5806451612903225,23.0,8.625806451612902,AUT
HVG,SL.TLF.TOTL.IN,2.2580645161290325,25.0,8.808602150537634,AUT
